CBSA,State,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
Spokane-Spokane Valley, WA,44060,2017,212,149,63,0,0,0,0,97,68,43,0,0,89,0,111,12
Walla Walla, WA,47460,2017,212,192,20,0,0,0,0,69,48,16,0,0,0,0,212,0
Wenatchee, WA,48300,2017,212,193,19,0,0,0,0,95,48,23,0,0,0,0,212,0
Yakima, WA,49420,2017,212,169,34,9,0,0,0,148,69,28,0,0,0,0,202,10
Appleton, WI,11540,2017,212,177,29,6,0,0,0,132,60,40,0,0,149,15,48,0
Baraboo, WI,12660,2017,212,184,28,0,0,0,0,87,54,39,0,0,148,0,64,0
Beaver Dam, WI,13180,2017,212,180,31,1,0,0,0,122,54,39,0,0,172,0,40,0
Eau Claire, WI,20740,2017,212,189,23,0,0,0,0,85,53,39,0,0,147,0,65,0
Fond du Lac, WI,22540,2017,169,154,15,0,0,0,0,93,50,39,0,0,169,0,0,0
Green Bay, WI,24580,2017,212,182,29,1,0,0,0,112,54,40,0,0,159,0,53,0
Janesville-Beloit, WI,27500,2017,162,138,24,0,0,0,0,84,58,41,0,0,162,0,0,0
Madison, WI,31540,2017,212,165,47,0,0,0,0,93,61,42,0,0,146,0,66,0
Manitowoc, WI,31820,2017,176,163,11,2,0,0,0,126,49,39,0,0,176,0,0,0
Milwaukee-Waukesha-West Allis, WI,33340,2017,212,151,58,3,0,0,0,136,68,43,0,2,143,0,67,0
Platteville, WI,38420,2017,200,185,15,0,0,0,0,71,45,23,0,0,0,0,200,0
Racine, WI,39540,2017,166,130,29,7,0,0,0,140,80,42,0,0,166,0,0,0
Sheboygan, WI,43100,2017,165,131,27,7,0,0,0,129,71,41,0,0,165,0,0,0
Watertown-Fort Atkinson, WI,48020,2017,170,146,24,0,0,0,0,90,54,40,0,0,170,0,0,0
Wausau, WI,48140,2017,153,142,11,0,0,0,0,90,48,39,0,0,153,0,0,0
Whitewater-Elkhorn, WI,48580,2017,164,147,17,0,0,0,0,90,51,40,0,0,164,0,0,0
La Crosse-Onalaska, WI-MN,29100,2017,212,183,29,0,0,0,0,87,55,39,0,0,148,0,64,0
Charleston, WV,16620,2017,181,153,27,1,0,0,0,105,55,41,0,0,113,0,68,0
Clarksburg, WV,17220,2017,61,57,4,0,0,0,0,59,46,27,0,0,0,0,61,0
Fairmont, WV,21900,2017,53,50,3,0,0,0,0,58,45,28,0,0,0,0,53,0
Morgantown, WV,34060,2017,181,167,14,0,0,0,0,80,48,37,0,0,118,39,24,0
Parkersburg-Vienna, WV,37620,2017,173,160,13,0,0,0,0,74,49,37,0,0,116,33,24,0
Huntington-Ashland, WV-KY-OH,26580,2017,273,228,43,2,0,0,0,101,54,40,0,1,170,0,102,0
Point Pleasant, WV-OH,38580,2017,304,294,9,1,0,0,0,101,37,9,0,0,0,304,0,0
Weirton-Steubenville, WV-OH,48260,2017,273,153,119,1,0,0,0,110,67,49,0,0,97,9,167,0
Wheeling, WV-OH,48540,2017,273,153,120,0,0,0,0,87,65,48,0,0,84,0,188,1
Casper, WY,16220,2017,181,162,19,0,0,0,0,80,51,44,0,7,170,0,4,0
Cheyenne, WY,16940,2017,181,138,43,0,0,0,0,97,61,45,0,5,167,0,9,0
Evanston, WY,21740,2017,181,156,25,0,0,0,0,74,54,44,0,3,173,0,0,5
Gillette, WY,23940,2017,272,236,36,0,0,0,0,92,55,39,0,91,137,0,4,40
Laramie, WY,29660,2017,242,125,115,2,0,0,0,115,77,50,0,0,222,0,2,18
Riverton, WY,40180,2017,181,116,64,1,0,0,0,103,74,48,0,0,141,29,11,0
Rock Springs, WY,40540,2017,273,217,53,3,0,0,0,131,64,44,0,1,161,9,2,100
Sheridan, WY,43260,2017,181,146,35,0,0,0,0,77,58,41,0,0,120,0,22,39
Jackson, WY-ID,27220,2017,243,186,57,0,0,0,0,84,61,45,0,0,231,0,12,0
